16; // Jobs Exported with Litcube's Jobs Editor V0.52 --*-- 64
1;Freight Transporter - Commonwealth;320;9;trade.docktrader;0;10003;0;0;1;0;0;0;0;9;4;2;2000;-1;0;0;1;1;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;-1;-1;20;1;0;0;1;1;0;1;0;0;-1;-1;1;1;0;0;0;0;0;70;80;40;25;1;1;1;1;1;0;0;0;0;0;0;0;80;75;5;1;90;40;40;40;40;0;0;0;0;0;0;0;0;0;1;0;0;0
2;Chemical Transporter - Commonwealth;15;3;trade.docktrader;0;10009;0;0;1;0;0;0;0;75;4;2;2000;-1;0;0;1;1;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;-1;-1;20;1;0;0;1;1;0;1;0;0;-1;-1;1;1;0;0;0;0;0;70;80;40;25;1;1;1;1;1;0;0;0;0;0;0;0;80;75;5;1;90;40;40;40;40;0;0;0;0;0;0;0;0;0;1;0;0;0
3;Textiles Transporter - Commonwealth;15;3;trade.docktrader;0;10010;0;0;1;0;0;0;0;76;4;2;2000;-1;0;0;1;1;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;-1;-1;20;1;0;0;1;1;0;1;0;0;-1;-1;1;1;0;0;0;0;0;70;80;40;25;1;1;1;1;1;0;0;0;0;0;0;0;80;75;5;1;90;40;40;40;40;0;0;0;0;0;0;0;0;0;1;0;0;0
4;Medicinal Courier - Commonwealth;15;3;trade.docktrader;0;10011;0;0;1;0;0;0;0;77;4;2;2000;-1;0;0;1;1;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;-1;-1;20;1;0;0;1;1;0;1;0;0;-1;-1;1;1;0;0;0;0;0;70;80;40;25;1;1;1;1;1;0;0;0;0;0;0;0;80;75;5;1;90;40;40;40;40;0;0;0;0;0;0;0;0;0;1;0;0;0
5;Freight Transporter - Terran;85;9;trade.docktrader;0;10003;0;0;1;0;0;0;0;61;4;2;2000;-1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;-1;-1;20;1;0;0;1;1;0;0;0;0;-1;-1;1;1;0;0;0;0;0;70;80;40;25;0;0;0;0;0;0;0;0;0;1;0;0;80;75;5;1;90;40;40;40;40;0;0;0;0;0;0;0;0;0;1;0;0;0
6;High-Tech Transporter - Commonwealth;210;9;trade.docktrader;0;10026;0;0;1;0;0;0;0;16;4;1;2000;-1;0;0;1;1;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;-1;-1;20;1;0;0;1;1;0;1;0;0;-1;-1;1;1;0;0;0;0;0;70;80;40;25;1;1;1;1;1;0;0;0;0;0;0;0;80;75;5;1;90;40;40;40;40;0;0;0;0;0;0;0;0;0;1;0;0;0
7;High-Tech Transporter - Terran;30;9;trade.docktrader;0;10026;0;0;1;0;0;0;0;64;4;1;2000;-1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;-1;-1;20;1;0;0;1;1;0;0;0;0;-1;-1;1;1;0;0;0;0;0;70;80;40;25;0;0;0;0;0;0;0;0;0;1;0;0;80;75;5;1;90;40;40;40;40;0;0;0;0;0;0;0;0;0;1;0;0;0
8;High-Tech Trader - Terran;30;9;trade.freetrader.raceonly;0;3008;0;0;1;0;0;0;0;64;4;5;2000;-1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;-1;-1;0;1;0;0;1;0;0;0;0;0;-1;-1;1;1;0;0;0;0;0;70;80;40;25;0;0;0;0;0;0;0;0;0;1;0;0;80;75;5;1;90;40;40;40;40;0;0;0;0;0;0;0;0;0;1;0;0;0
9;High-Tech Trader - Commonwealth (Shady);80;9;trade.freetrader;0;10026;0;0;1;0;0;0;0;57;4;10;2000;-1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;0;1;1;1;0;-1;-1;50;0;0;0;0;0;0;1;0;0;-1;-1;1;1;0;0;0;0;0;70;80;70;25;1;1;1;1;1;0;0;0;0;0;0;1;80;75;5;1;90;70;70;70;70;0;0;0;1;1;1;0;0;0;1;0;0;0
10;Weapon Transporter - Argon;50;3;trade.freetrader;0;60002;0;0;1;0;0;0;0;8;4;0;2000;-1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;-1;-1;0;1;0;0;1;1;0;1;0;0;-1;-1;1;1;0;0;0;0;0;70;80;40;25;1;0;0;0;0;0;0;0;0;0;0;0;80;90;15;1;90;40;40;40;40;0;0;0;0;0;0;0;0;0;1;0;0;0
11;Weapon Transporter - Boron;50;3;trade.freetrader;0;60002;0;0;1;0;0;0;0;8;4;0;2000;-1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;-1;-1;0;1;0;0;1;1;0;1;0;0;-1;-1;1;1;0;0;0;0;0;70;80;40;25;0;1;0;0;0;0;0;0;0;0;0;0;80;90;15;1;90;40;40;40;40;0;0;0;0;0;0;0;0;0;1;0;0;0
12;Weapon Transporter - Split;50;3;trade.freetrader;0;60002;0;0;1;0;0;0;0;8;4;0;2000;-1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;-1;-1;0;1;0;0;1;1;0;1;0;0;-1;-1;1;1;0;0;0;0;0;70;80;40;25;0;0;1;0;0;0;0;0;0;0;0;0;80;90;15;1;90;40;40;40;40;0;0;0;0;0;0;0;0;0;1;0;0;0
13;Weapon Transporter - Paranid;50;3;trade.freetrader;0;60002;0;0;1;0;0;0;0;8;4;0;2000;-1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;-1;-1;0;1;0;0;1;1;0;1;0;0;-1;-1;1;1;0;0;0;0;0;70;80;40;25;0;0;0;1;0;0;0;0;0;0;0;0;80;90;15;1;90;40;40;40;40;0;0;0;0;0;0;0;0;0;1;0;0;0
14;Weapon Transporter - Teladi;50;3;trade.freetrader;0;60002;0;0;1;0;0;0;0;8;4;0;2000;-1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;-1;-1;0;1;0;0;1;1;0;1;0;0;-1;-1;1;1;0;0;0;0;0;70;80;40;25;0;0;0;0;1;0;0;0;0;0;0;0;80;90;15;1;90;40;40;40;40;0;0;0;0;0;0;0;0;0;1;0;0;0
15;Mineral Transporter - Commonwealth;35;4;trade.freetrader;0;3003;0;0;1;0;0;0;0;11;4;5;2000;-1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;0;1;1;1;1;-1;-1;0;1;0;0;1;1;0;1;0;0;-1;-1;1;1;0;0;0;0;0;90;80;60;25;1;1;1;1;1;0;0;0;0;0;0;0;80;75;5;1;90;60;60;60;60;0;0;0;0;0;0;0;0;0;1;0;0;0
16;Mineral Transporter - Terran;15;4;trade.freetrader;0;3003;0;0;1;0;0;0;0;60;4;5;2000;-1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;1;0;-1;-1;0;1;0;0;1;1;0;0;0;0;-1;-1;1;1;0;0;0;0;0;90;80;60;25;0;0;0;0;0;0;0;0;0;1;0;0;80;75;5;1;90;60;60;60;60;0;0;0;0;0;0;0;0;0;1;0;0;0
17;Valuable Goods Transporter - Commonwealth;20;4;trade.freetrader;0;10012;0;0;1;0;0;0;0;78;4;2;2000;-1;0;0;1;1;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;-1;-1;20;1;0;0;1;1;0;1;0;0;-1;-1;1;1;0;0;0;0;0;70;80;40;25;1;1;1;1;1;0;0;0;0;0;0;0;80;75;5;1;90;40;40;40;40;0;0;0;0;0;0;0;0;0;1;0;0;0
18;Valuable Goods Transporter - Terran (Supply Docks Only);25;5;trade.freetrader.docksonly;0;10012;0;0;1;0;0;0;0;67;4;2;2000;-1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;-1;-1;20;1;0;0;1;1;0;0;0;0;-1;-1;1;1;0;0;0;0;0;85;80;40;25;0;0;0;0;0;0;0;0;0;1;0;0;80;75;5;1;90;40;40;40;40;0;0;0;0;0;0;0;0;0;1;0;0;0
19;Weapons Dealer - Commonwealth;45;3;trade.docktrader;0;10021;0;0;1;0;0;0;0;8;4;1;2000;-1;0;0;1;0;0;1;0;0;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0;0;-1;-1;20;1;0;0;1;1;0;1;0;0;-1;-1;1;1;0;0;0;0;0;75;80;40;25;1;1;1;1;1;0;0;0;0;0;0;0;80;75;15;1;90;40;40;40;40;0;0;0;0;0;0;0;0;0;1;0;0;0
20;Weapons Dealer - Commonwealth (Light Weapons);30;3;trade.docktrader;0;10021;0;0;1;0;0;0;0;49;4;1;2000;-1;0;0;1;0;0;1;0;0;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0;0;-1;-1;20;1;0;0;1;1;0;1;0;0;-1;-1;1;1;0;0;0;0;0;75;80;40;25;1;1;1;1;1;0;0;0;0;0;0;0;80;75;15;1;90;40;40;40;40;0;0;0;0;0;0;0;0;0;1;0;0;0
21;Weapons Dealer - Terran;15;2;trade.docktrader;0;10021;0;0;1;0;0;0;0;65;4;1;2000;-1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;-1;-1;0;1;0;0;1;1;0;0;0;0;-1;-1;1;1;0;0;0;0;0;75;80;40;25;0;0;0;0;0;0;0;0;0;1;0;0;80;75;51;1;90;40;40;40;40;0;0;0;0;0;0;0;0;0;1;0;0;0
22;Weapons Dealer - Commonwealth (Shady);40;5;trade.docktrader;0;10021;0;0;1;0;0;0;0;17;4;10;2000;-1;0;0;1;0;0;1;0;0;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;-1;-1;20;0;0;0;0;0;0;1;0;0;-1;-1;1;1;0;0;0;0;0;75;80;60;25;1;1;1;1;1;0;0;0;0;0;0;1;80;75;15;1;90;60;60;60;60;0;0;0;1;1;1;0;0;0;1;0;0;0
